piece:1	epoch:18	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:666.5	device: cuda:1
piece:1	epoch:18	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:666.5	device: cuda:0
piece:1	epoch:19	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:667.6	device: cuda:1
piece:1	epoch:19	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:667.6	device: cuda:0
piece:1	epoch:20	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:668.0	device: cuda:1
piece:1	epoch:20	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:668.0	device: cuda:0
piece:1	epoch:21	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:667.2	device: cuda:0
piece:1	epoch:21	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:667.2	device: cuda:1
piece:1	epoch:22	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:668.9	device: cuda:1
piece:1	epoch:22	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:668.9	device: cuda:0
piece:1	epoch:23	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:668.5	device: cuda:0
piece:1	epoch:23	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:668.5	device: cuda:1
piece:1	epoch:24	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:667.8	device: cuda:0
piece:1	epoch:24	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:667.8	device: cuda:1
piece:1	epoch:25	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:667.5	device: cuda:1
piece:1	epoch:25	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:667.5	device: cuda:0
piece:1	epoch:26	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:669.1	device: cuda:0
piece:1	epoch:26	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:669.1	device: cuda:1
piece:1	epoch:27	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:668.7	device: cuda:1
piece:1	epoch:27	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:668.6	device: cuda:0
piece:1	epoch:28	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:670.2	device: cuda:0
piece:1	epoch:28	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:670.2	device: cuda:1
piece:1	epoch:29	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:667.1	device: cuda:1
piece:1	epoch:29	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:667.1	device: cuda:0
piece:2	epoch:0	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:669.2	device: cuda:0
piece:2	epoch:0	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:669.2	device: cuda:1
piece:2	epoch:1	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:670.4	device: cuda:0
piece:2	epoch:1	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:670.4	device: cuda:1
piece:2	epoch:2	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:670.2	device: cuda:1
piece:2	epoch:2	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:670.2	device: cuda:0
piece:2	epoch:3	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:670.0	device: cuda:0
piece:2	epoch:3	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:670.0	device: cuda:1
piece:2	epoch:4	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:668.3	device: cuda:0
piece:2	epoch:4	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:668.3	device: cuda:1
piece:2	epoch:5	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:669.6	device: cuda:0
piece:2	epoch:5	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:669.6	device: cuda:1
piece:2	epoch:6	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:667.5	device: cuda:0
piece:2	epoch:6	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:667.6	device: cuda:1
piece:2	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:668.0	device: cuda:1
piece:2	epoch:7	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:668.0	device: cuda:0
piece:2	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:665.9	device: cuda:0
piece:2	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:665.9	device: cuda:1
piece:2	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.3	device: cuda:1
piece:2	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.3	device: cuda:0
piece:2	epoch:10	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.0	device: cuda:0
piece:2	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.0	device: cuda:1
piece:2	epoch:11	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.8	device: cuda:0
piece:2	epoch:11	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.8	device: cuda:1
piece:2	epoch:12	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:670.2	device: cuda:0
piece:2	epoch:12	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:670.2	device: cuda:1
piece:2	epoch:13	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:667.2	device: cuda:0
piece:2	epoch:13	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:667.2	device: cuda:1
piece:2	epoch:14	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:668.0	device: cuda:1
piece:2	epoch:14	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:668.0	device: cuda:0
piece:2	epoch:15	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:667.5	device: cuda:0
piece:2	epoch:15	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:667.5	device: cuda:1
piece:2	epoch:16	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:666.0	device: cuda:0
piece:2	epoch:16	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:666.0	device: cuda:1
piece:2	epoch:17	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:666.7	device: cuda:0
piece:2	epoch:17	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:666.7	device: cuda:1
piece:2	epoch:18	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:665.7	device: cuda:0
piece:2	epoch:18	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:665.7	device: cuda:1
piece:2	epoch:19	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:666.8	device: cuda:0
piece:2	epoch:19	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:666.8	device: cuda:1
piece:2	epoch:20	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:668.7	device: cuda:0
piece:2	epoch:20	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:668.8	device: cuda:1
piece:2	epoch:21	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:668.1	device: cuda:1
piece:2	epoch:21	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:668.1	device: cuda:0
piece:2	epoch:22	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:669.4	device: cuda:1
piece:2	epoch:22	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:669.4	device: cuda:0
piece:2	epoch:23	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:668.5	device: cuda:0
piece:2	epoch:23	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:668.5	device: cuda:1
piece:2	epoch:24	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:669.3	device: cuda:1
piece:2	epoch:24	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:669.3	device: cuda:0
piece:2	epoch:25	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:667.0	device: cuda:0
piece:2	epoch:25	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:667.0	device: cuda:1
piece:2	epoch:26	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:668.2	device: cuda:0
piece:2	epoch:26	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:668.2	device: cuda:1
piece:2	epoch:27	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:668.7	device: cuda:1
piece:2	epoch:27	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:668.7	device: cuda:0
piece:2	epoch:28	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:667.6	device: cuda:0
piece:2	epoch:28	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:667.6	device: cuda:1
piece:2	epoch:29	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:668.1	device: cuda:1
piece:2	epoch:29	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:668.1	device: cuda:0
piece:3	epoch:0	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:669.4	device: cuda:1
piece:3	epoch:0	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:669.5	device: cuda:0
piece:3	epoch:1	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:667.8	device: cuda:0
piece:3	epoch:1	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:667.8	device: cuda:1
piece:3	epoch:2	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:668.2	device: cuda:0
piece:3	epoch:2	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:668.2	device: cuda:1
piece:3	epoch:3	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:666.7	device: cuda:0
piece:3	epoch:3	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:666.7	device: cuda:1
piece:3	epoch:4	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:667.4	device: cuda:1
piece:3	epoch:4	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:667.4	device: cuda:0
piece:3	epoch:5	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:665.1	device: cuda:0
piece:3	epoch:5	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:665.1	device: cuda:1
piece:3	epoch:6	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:669.3	device: cuda:0
piece:3	epoch:6	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:669.3	device: cuda:1
piece:3	epoch:7	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:669.3	device: cuda:0
piece:3	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:669.3	device: cuda:1
piece:3	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:666.9	device: cuda:0
piece:3	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:666.9	device: cuda:1
piece:3	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:669.2	device: cuda:0
piece:3	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:669.2	device: cuda:1
piece:3	epoch:10	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:669.6	device: cuda:0
piece:3	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:669.6	device: cuda:1
piece:3	epoch:11	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.6	device: cuda:0
piece:3	epoch:11	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.7	device: cuda:1
piece:3	epoch:12	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:666.1	device: cuda:1
piece:3	epoch:12	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:666.1	device: cuda:0
piece:3	epoch:13	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:667.2	device: cuda:1
piece:3	epoch:13	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:667.2	device: cuda:0
piece:3	epoch:14	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:671.1	device: cuda:0
piece:3	epoch:14	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:671.1	device: cuda:1
piece:3	epoch:15	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:670.5	device: cuda:0
piece:3	epoch:15	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:670.5	device: cuda:1
piece:3	epoch:16	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:668.1	device: cuda:0
piece:3	epoch:16	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:668.1	device: cuda:1
piece:3	epoch:17	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:665.9	device: cuda:1
piece:3	epoch:17	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:665.9	device: cuda:0
piece:3	epoch:18	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:667.6	device: cuda:1
piece:3	epoch:18	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:667.5	device: cuda:0
piece:3	epoch:19	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:664.9	device: cuda:0
piece:3	epoch:19	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:664.9	device: cuda:1
piece:3	epoch:20	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:664.4	device: cuda:1
piece:3	epoch:20	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:664.4	device: cuda:0
piece:3	epoch:21	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:665.0	device: cuda:1
piece:3	epoch:21	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:665.0	device: cuda:0
piece:3	epoch:22	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:664.4	device: cuda:0
piece:3	epoch:22	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:664.4	device: cuda:1
